name,cent_dgr,cent_btw,cent_cls,cent_egn,cent_wgt
국민의힘,8,23,0.01818181818181818,0.591450614327754,0.09894567940891727
더불어민주당,16,61,0.02,1,0.15305776521924833
김태년,2,0,0.016129032258064516,0.3032772652882285,0.04997697127011092
박덕흠,2,0,0.014925373134328358,0.17937352486636401,0.05045542260374888
문재인,4,0,0.01639344262295082,0.43529118568764896,0.05548699997939012
청와대,4,0,0.01639344262295082,0.43529118568764913,0.05694272180240366
정무위원회,8,23,0.01818181818181818,0.591450614327754,0.08649322718962754
손혜원,4,12,0.016666666666666666,0.3339973751413378,0.0632152884041599
자유한국당,2,0,0.01388888888888889,0.10129381054631137,0.0498682765186945
안철수,2,0,0.0044444444444444444,2.061258428691393e-18,0.06250000000000001
국민의당,2,0,0.0044444444444444444,9.05950258809147e-18,0.06250000000000001
법안심사소위원회,2,0,0.014925373134328358,0.17937352486636407,0.04493985629932858
국민권익위원회,2,0,0.014925373134328358,0.17937352486636401,0.04343946358277382
김병욱,2,0,0.016129032258064516,0.30327726528822846,0.04061732375670362
이낙연,2,0,0.016129032258064516,0.3032772652882285,0.04061732375670362
주호영,2,0,0.014925373134328358,0.17937352486636393,0.040943680208189275
